"","INC_PCT_M2","C150_4_POOLED_SUPP","PCT10_EARN_WNE_P6","GT_25K_P6","C150_4","NPT4_75UP_PUB","TUITIONFEE_OUT"
"4936",0.0221674877,0.75,4800,0.383,0.7647,13560.7976040353,17870
"3029",0.1516146689,0.73793447874199,14300,0.786,0.7113,13560.7976040353,33960
"7130",0.1134631668,0.14696150030998,0.481198554177153,0.490295663600526,0.1443,10624,11098
"29",0.1178474114,6399.64135021097,5100,0.534,0.479596262833676,13093,7710
"1456",0.060199005,0.30387458563535,4800,0.562,0.3053,13560.7976040353,12123
"846",0.1482247501,0.61994722569879,11000,0.722,0.6238,13560.7976040353,26330
"1091",0.1548913043,0.34419069767441,8400,0.597,0.2889,13560.7976040353,23600
"3020",0.1553166069,6399.64135021097,4200,0.425,0.479596262833676,7736,8600
"1673",0.1556439582,0.53663702943189,10500,0.703,0.5675,17064,15340
"782",0.1007194245,0.37280078277886,5400,0.464,0.398,8345,13276
"2617",0.1315660285,0.36820426356589,6600,0.633,0.3724,14986,16953
"4240",0.113198402089198,0.39578328530259,0.481198554177153,0.490295663600526,0.3914,9257,4041
"2041",0.217699115,0.4797199376947,9000,0.579,0.3529,13560.7976040353,19530
"3882",0.15,0.35426188340807,6700,0.591,0.3588,13560.7976040353,22645
"3373",0.1226993865,0.43816907216494,6100,0.559,0.4286,13560.7976040353,31580
"589",0.0839954597,0.26540991957104,3200,0.323,0.2133,13560.7976040353,16968
"4175",0.1688888889,6399.64135021097,4200,0.487,0.479596262833676,8091,6733
"212",0.0680345572,6399.64135021097,4000,0.428,0.479596262833676,7031,7120
"2613",0.1580058032,0.60645945282357,9900,0.612,0.6328,20225,17231
"2318",0.0936630097,6399.64135021097,5700,0.517,0.479596262833676,9318,8400
"3730",0.1080233079,6399.64135021097,6200,0.501,0.479596262833676,12754,4560
"1575",0.1171171171,6399.64135021097,4800,0.55,0.479596262833676,12095,7557
"618",0.0905327077,6399.64135021097,3600,0.448,0.479596262833676,12438,13049
"478",0.0733325573,6399.64135021097,7900,0.659,0,13560.7976040353,13663
"1772",0.108654422,0.10388982418753,4100,0.429,0.0937,13560.7976040353,8280
"5824",0.060199005,0.2961,4800,0.562,0.3495,13560.7976040353,14824
"1730",0.1093394077,0.36303477707006,6500,0.52,0.3736,13560.7976040353,18760
"3265",0.1711547239,0.5505507027027,9600,0.622,0.553,22845,19549
"3509",0.1913846154,0.33234208456243,8100,0.576,0.3303,16114,10097
"1547",0.1756007394,0.46155429864253,7400,0.652,0.4955,16813,10875
"5298",0.0803981623,0.11705957446808,5300,0.607,0.4444,13560.7976040353,15135
"613",0.1734939759,0.46365449648711,10400,0.666,0.4635,19109,19277
"3731",0.1479591837,0.37010606531881,9600,0.614,0.3614,13560.7976040353,25019
"4249",0.0922925871,0.47224391320338,0.481198554177153,0.490295663600526,0.4698,6936,4040
"5849",0.0733325573,6399.64135021097,7900,0.659,0,13560.7976040353,13663
"3483",0.0864451632,6399.64135021097,4900,0.424,0.479596262833676,10102,5660
"1193",0.1911146162,0.26176263143704,8000,0.584,0.264,18755,19092
"3833",0.1410018553,6399.64135021097,6900,0.525,0.479596262833676,6569,3480
"4045",0.1051844467,6399.64135021097,4900,0.525,0.479596262833676,11477,5675
"4151",0.1251039069,6399.64135021097,6700,0.571,0.479596262833676,14063,5964
"4473",0.1478843737,0.4824889498102,10100,0.663,0.4853,16780,18329
"907",0.1672753835,0.33870024813895,8400,0.574,0.3206,14786,15163
"1065",0.1462585034,6399.64135021097,5600,0.464,0.479596262833676,12070,7560
"54",0.0841750842,0.230312,5000,0.386,0.2036,13560.7976040353,15865
"3801",0.1629580427,0.80008506171088,12400,0.77,0.8064,23480,34836
"2235",0.1182167563,6399.64135021097,5000,0.534,0.479596262833676,11776,7878
"1034",0.1851851852,0.56364872727272,10500,0.678,0.5294,13560.7976040353,20060
"1221",0.113198402089198,0.09752195121951,2200,0.302,0.0833,13560.7976040353,11960
"1330",0.1828442438,0.54787942973523,14100,0.776,0.5768,13560.7976040353,26370
"1019",0.0640295959,6399.64135021097,3200,0.361,0.479596262833676,10816,7891
"4709",0.1193384702,6399.64135021097,6600,0.528,0.479596262833676,11357,7830
"1917",0.1211982621,0.33884628099173,11300,0.757,0.339,17963,13227
"1277",0.1148148148,0.7308,7100,0.521,0.7203,13560.7976040353,11625
"2615",0.1590265988,0.63275812133072,5400,0.516,0.6742,23114,17583
"2264",0.142664613,0.682938,11200,0.706,0.667,25341,20570
"351",0.1827411168,0.43066831683168,8000,0.663,0.4954,13560.7976040353,34488
"4161",0.1973251994,0.53934875354107,13100,0.713,0.5434,17078,15010
"3531",0.1830168776,6399.64135021097,11200,0.71,0.479596262833676,16133,4728
"3044",0.1698450536,0.33744731385485,8400,0.616,0.3365,13560.7976040353,13512
"2700",0.11866712,0.33089058355437,5700,0.458,0.346,12701,16263
"5736",0.0815370778,0.36462466487935,6400,0.578,0.385,13560.7976040353,18048
"3782",0.0848909657,6399.64135021097,5700,0.438,0.479596262833676,11036,4012
"2537",0.1755244755,0.64609647457627,12800,0.701,0.6409,13560.7976040353,29060
"1589",0.1035460993,6399.64135021097,7200,0.584,0.479596262833676,11715,6730
"1967",0.1336315892,6399.64135021097,8100,0.617,0.479596262833676,12607,5373
"2397",0.173541963,0.57215323383084,9500,0.568,0.5548,13560.7976040353,30560
"3393",0.1585845347,6399.64135021097,10500,0.68,0.479596262833676,13805,7430
"3721",0.0711542806,6399.64135021097,6300,0.425,0.479596262833676,7092,5748
"2578",0.1280788177,0.72997088607594,4800,0.562,0.7701,13560.7976040353,50780
"2122",0.1721311475,0.54573351800554,10800,0.637,0.5272,13560.7976040353,21260
"1031",0.1549861068,0.59884466960352,11300,0.656,0.5947,21442,28088
"2822",0.1660633484,0.41609820971867,7600,0.607,0.4156,21600,18792
"3491",0.1662337662,6399.64135021097,7000,0.394,0.479596262833676,14301,16130
"6421",0.0273487457,0.3114,2400,0.19,0.3114,13560.7976040353,6495
"2260",0.134502924,0.41188181818181,9600,0.716,0.3551,13560.7976040353,30605
"1374",0.2173913043,0.4074049382716,9000,0.622,0.4545,13560.7976040353,13642
"2060",0.1711409396,0.6666931372549,14100,0.781,0.6604,13560.7976040353,25884
