"","PAR_ED_PCT_1STGEN","MN_EARN_WNE_P6","PCT75_EARN_WNE_P6","INC_PCT_M2","NPT4_PUB","GT_25K_P6","C100_4"
"3344",0.5586095392,28100,36800,0.0825892857,9624.65620094192,0.471,0.326050843593251
"3345",0.5586095392,28100,36800,0.0825892857,9624.65620094192,0.471,0.326050843593251
"3346",0.47186444148188,18300,40187.6009768927,0.112368633963963,9624.65620094192,0.255,0.326050843593251
"3347",0.4874431058,37100,51300,0.0858097415,9624.65620094192,0.611,0.2324
"3348",0.6125,20100,26000,0.0710382514,9624.65620094192,0.277,0.326050843593251
"3349",0.5330490405,28900,38800,0.1154529307,7102,0.487,0.326050843593251
"3350",0.5015673981,30400,42200,0.0733496333,3245,0.502,0.326050843593251
"3351",0.4912446758,29000,38200,0.1096826035,6941,0.547,0.326050843593251
"3352",0.5058479532,31600,42400,0.1128318584,9624.65620094192,0.524,0
"3353",0.3693820225,35900,45300,0.1456692913,9624.65620094192,0.699,0.3631
"3354",0.5453597497,27200,36400,0.1008134805,7229,0.463,0.326050843593251
"3355",0.526119403,29100,40900,0.1084656085,7975,0.512,0.326050843593251
"3356",0.3864042934,39600,52700,0.1603475513,9624.65620094192,0.704,0.2581
"3357",0.4615803815,41600,49400,0.1148523985,9624.65620094192,0.783,0.326050843593251
"3358",0.5058487612,29500,39700,0.0604953452,9646,0.524,0.326050843593251
"3359",0.5099502488,38500,49100,0.1045761671,7150,0.7,0.0286
"3360",0.4592496766,37200,45100,0.1282051282,9383,0.757,0.326050843593251
"3361",0.4150316933,44000,57000,0.144080256,13028,0.73,0.1827
"3362",0.5325077399,29700,39500,0.1103225806,5426,0.508,0.326050843593251
"3363",0.3931357254,30200,39500,0.1786216596,9624.65620094192,0.582,0.352
"3364",0.4631728045,26400,34900,0.1185819071,9624.65620094192,0.469,0.1285
"3365",0.4695933789,39700,50700,0.1667731629,9624.65620094192,0.707,0.1945
"3366",0.5471698113,18700,25000,0.112368633963963,9624.65620094192,0.25,0.326050843593251
"3367",0.5471698113,18700,25000,0.112368633963963,9624.65620094192,0.25,0.326050843593251
"3368",0.4972857507,33100,44700,0.0815370778,9624.65620094192,0.578,0.326050843593251
"3369",0.4972857507,33100,44700,0.0815370778,9624.65620094192,0.578,0.326050843593251
"3370",0.4040816327,19000,25400,0.0876897133,9624.65620094192,0.259,0.0405
"3371",0.4038461538,22100,29900,0.0604395604,9624.65620094192,0.347,0.326050843593251
"3372",0.5492481203,28500,37700,0.1114015028,4715,0.472,0.326050843593251
"3373",0.4277108434,34000,44400,0.1481152993,14319,0.584,0.1103
"3374",0.5407949791,29400,41900,0.1092057762,2319,0.494,0.326050843593251
"3375",0.4545454545,28600,40300,0.1033369214,8823,0.479,0.326050843593251
"3376",0.5621198957,28400,36000,0.0711542806,4540,0.425,0.326050843593251
"3377",0.4983766234,35700,47000,0.1070346685,4569,0.654,0.1987
"3378",0.5445292621,34000,45700,0.095599393,9057,0.545,0.326050843593251
"3379",0.3421588595,43900,55500,0.1691312384,9624.65620094192,0.762,0.3471
"3380",0.5158205311,29600,40400,0.1166573191,9624.65620094192,0.575,0.326050843593251
"3381",0.3826979472,37200,46700,0.1711229947,9624.65620094192,0.675,0.2862
"3382",0.4972324723,30700,40100,0.0929878049,7141,0.479,0.326050843593251
"3383",0.3303341902,36100,46800,0.1722713864,9624.65620094192,0.694,0.2926
"3384",0.4871451527,28100,37600,0.1080233079,7468,0.501,0.326050843593251
"3385",0.3686200378,33000,42200,0.1479591837,9624.65620094192,0.614,0.2289
"3386",0.4793814433,54200,65700,0.1552511416,9624.65620094192,0.919,0.326050843593251
"3387",0.5324574961,34800,47800,0.1102661597,8276,0.594,0.326050843593251
"3388",0.3899862196,38400,50400,0.1741828713,10823,0.687,0.1773
"3389",0.3475609756,24000,34400,0.1157894737,9624.65620094192,0.43,0.326050843593251
"3390",0.6543949772,19100,24800,0.036944494,9624.65620094192,0.247,0.326050843593251
"3391",0.6002198608,27600,37000,0.0797062024,4709,0.528,0.326050843593251
"3392",0.6373003606,20200,28400,0.045880777,9624.65620094192,0.328,0.326050843593251
"3393",0.4748603352,29569.8983050847,40187.6009768927,0.0452674897,9624.65620094192,0.500679491525424,0.326050843593251
"3394",0.5192541548,27600,37300,0.0919906166,9335,0.498,0.326050843593251
"3395",0.5223673363,31600,43500,0.0903630719,5631,0.556,0.326050843593251
"3396",0.5393730887,32100,43900,0.0798825257,4655,0.584,0.326050843593251
"3397",0.3741749873,36100,46300,0.1432786141,10856,0.691,0.2589
"3398",0.5425824176,26500,34900,0.0984719864,6760,0.463,0.326050843593251
"3399",0.4121140143,43400,56000,0.171009772,9624.65620094192,0.753,0.2874
"3400",0.4302059497,53200,76000,0.0942028986,9624.65620094192,0.747,0.326050843593251
"3401",0.5940594059,33300,45100,0.0860465116,5038,0.537,0.326050843593251
"3402",0.501216545,19900,28600,0.0753768844,9624.65620094192,0.32,0.326050843593251
"3403",0.5456621005,21100,28900,0.06875,9624.65620094192,0.343,0.326050843593251
"3404",0.4574688797,34700,44600,0.1716894977,9624.65620094192,0.636,0.219
"3405",0.5641405304,33200,44000,0.0979614325,2840,0.601,0.1708
"3406",0.5393356643,28900,38800,0.0888689408,6425,0.468,0.103
"3407",0.5220030349,30900,39800,0.1027918782,7722,0.509,0.326050843593251
"3408",0.578262889,24000,32000,0.0843833524,6230,0.392,0.326050843593251
"3409",0.4615384615,25900,35500,0.068452381,9624.65620094192,0.486,0
"3410",0.3633531577,32400,42600,0.130489022,9583,0.542,0.2752
"3411",0.5082644628,26400,36400,0.1483087598,6259,0.463,0.326050843593251
"3412",0.5,29569.8983050847,40187.6009768927,0.0833333333,9624.65620094192,0.500679491525424,0.326050843593251
"3413",0.1316998469,59000,76700,0.1566617862,9624.65620094192,0.8,0.8071
"3414",0.5116046918,28700,39000,0.0691871456,4103,0.519,0.326050843593251
"3415",0.6308453237,21000,27300,0.0545513234,9624.65620094192,0.311,0.326050843593251
"3416",0.3085260116,38400,47600,0.1735428946,9624.65620094192,0.692,0.5358
"3417",0.5718345437,27900,37500,0.064683053,6067,0.488,0.326050843593251
